dataset,tool,criterion,phase,pass_rate,marginal_gain
German_Credit,DiCE,C1_Immutability,1,64.0,0.0
German_Credit,DiCE,C1_Immutability,2,100.0,36.0
German_Credit,DiCE,C1_Immutability,3,100.0,0.0
German_Credit,DiCE,C1_Immutability,4,100.0,0.0
German_Credit,DiCE,C2_Actionability,1,92.3,0.0
German_Credit,DiCE,C2_Actionability,2,89.4,-2.9
German_Credit,DiCE,C2_Actionability,3,100.0,10.6
German_Credit,DiCE,C2_Actionability,4,100.0,0.0
German_Credit,DiCE,C3_Sparsity,1,100.0,0.0
German_Credit,DiCE,C3_Sparsity,2,100.0,0.0
German_Credit,DiCE,C3_Sparsity,3,100.0,0.0
German_Credit,DiCE,C3_Sparsity,4,100.0,0.0
German_Credit,DiCE,C4_Causal,1,94.9,0.0
German_Credit,DiCE,C4_Causal,2,86.3,-8.6
German_Credit,DiCE,C4_Causal,3,88.9,2.6
German_Credit,DiCE,C4_Causal,4,100.0,11.1
German_Credit,DiCE,C5_Diversity,1,98.6,0.0
German_Credit,DiCE,C5_Diversity,2,100.0,1.4
German_Credit,DiCE,C5_Diversity,3,100.0,0.0
German_Credit,DiCE,C5_Diversity,4,100.0,0.0
German_Credit,Wachter,C1_Immutability,1,38.2,0.0
German_Credit,Wachter,C1_Immutability,2,100.0,61.8
German_Credit,Wachter,C1_Immutability,3,100.0,0.0
German_Credit,Wachter,C1_Immutability,4,100.0,0.0
German_Credit,Wachter,C2_Actionability,1,95.9,0.0
German_Credit,Wachter,C2_Actionability,2,94.2,-1.6
German_Credit,Wachter,C2_Actionability,3,100.0,5.8
German_Credit,Wachter,C2_Actionability,4,100.0,0.0
German_Credit,Wachter,C3_Sparsity,1,83.9,0.0
German_Credit,Wachter,C3_Sparsity,2,94.2,10.3
German_Credit,Wachter,C3_Sparsity,3,95.8,1.6
German_Credit,Wachter,C3_Sparsity,4,100.0,4.2
German_Credit,Wachter,C4_Causal,1,57.6,0.0
German_Credit,Wachter,C4_Causal,2,58.0,0.4
German_Credit,Wachter,C4_Causal,3,59.9,1.9
German_Credit,Wachter,C4_Causal,4,100.0,40.1
German_Credit,Wachter,C5_Diversity,1,94.5,0.0
German_Credit,Wachter,C5_Diversity,2,92.8,-1.7
German_Credit,Wachter,C5_Diversity,3,90.6,-2.2
German_Credit,Wachter,C5_Diversity,4,0.0,-90.6
Taiwan_Credit,DiCE,C1_Immutability,1,68.6,0.0
Taiwan_Credit,DiCE,C1_Immutability,2,100.0,31.4
Taiwan_Credit,DiCE,C1_Immutability,3,100.0,0.0
Taiwan_Credit,DiCE,C1_Immutability,4,100.0,0.0
Taiwan_Credit,DiCE,C2_Actionability,1,72.0,0.0
Taiwan_Credit,DiCE,C2_Actionability,2,71.8,-0.2
Taiwan_Credit,DiCE,C2_Actionability,3,99.8,28.0
Taiwan_Credit,DiCE,C2_Actionability,4,99.8,-0.0
Taiwan_Credit,DiCE,C3_Sparsity,1,100.0,0.0
Taiwan_Credit,DiCE,C3_Sparsity,2,100.0,0.0
Taiwan_Credit,DiCE,C3_Sparsity,3,100.0,0.0
Taiwan_Credit,DiCE,C3_Sparsity,4,100.0,0.0
Taiwan_Credit,DiCE,C4_Causal,1,92.0,0.0
Taiwan_Credit,DiCE,C4_Causal,2,87.4,-4.6
Taiwan_Credit,DiCE,C4_Causal,3,87.2,-0.2
Taiwan_Credit,DiCE,C4_Causal,4,100.0,12.8
Taiwan_Credit,DiCE,C5_Diversity,1,100.0,0.0
Taiwan_Credit,DiCE,C5_Diversity,2,100.0,0.0
Taiwan_Credit,DiCE,C5_Diversity,3,99.0,-1.0
Taiwan_Credit,DiCE,C5_Diversity,4,99.1,0.1
Taiwan_Credit,Wachter,C1_Immutability,1,30.4,0.0
Taiwan_Credit,Wachter,C1_Immutability,2,100.0,69.6
Taiwan_Credit,Wachter,C1_Immutability,3,100.0,0.0
Taiwan_Credit,Wachter,C1_Immutability,4,100.0,0.0
Taiwan_Credit,Wachter,C2_Actionability,1,71.3,0.0
Taiwan_Credit,Wachter,C2_Actionability,2,74.3,3.0
Taiwan_Credit,Wachter,C2_Actionability,3,100.0,25.7
Taiwan_Credit,Wachter,C2_Actionability,4,100.0,0.0
Taiwan_Credit,Wachter,C3_Sparsity,1,34.9,0.0
Taiwan_Credit,Wachter,C3_Sparsity,2,61.0,26.1
Taiwan_Credit,Wachter,C3_Sparsity,3,77.4,16.4
Taiwan_Credit,Wachter,C3_Sparsity,4,100.0,22.6
Taiwan_Credit,Wachter,C4_Causal,1,51.3,0.0
Taiwan_Credit,Wachter,C4_Causal,2,49.3,-1.9
Taiwan_Credit,Wachter,C4_Causal,3,46.2,-3.1
Taiwan_Credit,Wachter,C4_Causal,4,100.0,53.8
Taiwan_Credit,Wachter,C5_Diversity,1,98.3,0.0
Taiwan_Credit,Wachter,C5_Diversity,2,99.2,0.9
Taiwan_Credit,Wachter,C5_Diversity,3,99.2,0.0
Taiwan_Credit,Wachter,C5_Diversity,4,11.8,-87.4
