dataset,phase,criterion,dice_rate,wachter_rate,cohens_d,wilcoxon_p,effect_size
German_Credit,1,C1_Immutability,64.0,38.2,0.533,0.0,Medium
German_Credit,1,C2_Actionability,92.3,95.9,-0.146,0.1025,Negligible
German_Credit,1,C3_Sparsity,100.0,83.9,0.708,0.0,Medium
German_Credit,1,C4_Causal,94.9,57.6,1.058,0.0,Large
German_Credit,1,C5_Diversity,98.6,94.5,0.242,0.0896,Small
German_Credit,2,C1_Immutability,100.0,100.0,0.0,1.0,Negligible
German_Credit,2,C2_Actionability,89.4,94.2,-0.169,0.0112,Negligible
German_Credit,2,C3_Sparsity,100.0,94.2,0.406,0.0005,Small
German_Credit,2,C4_Causal,86.3,58.0,0.696,0.0,Medium
German_Credit,2,C5_Diversity,100.0,92.8,0.458,0.0001,Small
German_Credit,3,C1_Immutability,100.0,100.0,0.0,1.0,Negligible
German_Credit,3,C2_Actionability,100.0,100.0,0.0,1.0,Negligible
German_Credit,3,C3_Sparsity,100.0,95.8,0.342,0.0027,Small
German_Credit,3,C4_Causal,88.9,59.9,0.741,0.0,Medium
German_Credit,3,C5_Diversity,100.0,90.6,0.525,0.0,Medium
German_Credit,4,C1_Immutability,100.0,100.0,0.0,1.0,Negligible
German_Credit,4,C2_Actionability,100.0,100.0,0.0,1.0,Negligible
German_Credit,4,C3_Sparsity,100.0,100.0,0.0,1.0,Negligible
German_Credit,4,C4_Causal,100.0,100.0,0.0,1.0,Negligible
German_Credit,4,C5_Diversity,100.0,0.0,0.0,0.0625,Negligible
Taiwan_Credit,1,C1_Immutability,68.6,30.4,0.825,0.0,Large
Taiwan_Credit,1,C2_Actionability,72.0,71.3,0.016,0.8019,Negligible
Taiwan_Credit,1,C3_Sparsity,100.0,34.9,2.116,0.0,Large
Taiwan_Credit,1,C4_Causal,92.0,51.3,1.062,0.0,Large
Taiwan_Credit,1,C5_Diversity,100.0,98.3,0.203,0.0143,Small
Taiwan_Credit,2,C1_Immutability,100.0,100.0,0.0,1.0,Negligible
Taiwan_Credit,2,C2_Actionability,71.8,74.3,-0.056,0.9293,Negligible
Taiwan_Credit,2,C3_Sparsity,100.0,61.0,1.218,0.0,Large
Taiwan_Credit,2,C4_Causal,87.4,49.3,0.921,0.0,Large
Taiwan_Credit,2,C5_Diversity,100.0,99.2,0.136,0.0833,Negligible
Taiwan_Credit,3,C1_Immutability,100.0,100.0,0.0,1.0,Negligible
Taiwan_Credit,3,C2_Actionability,99.8,100.0,-0.059,0.3173,Negligible
Taiwan_Credit,3,C3_Sparsity,100.0,77.4,0.82,0.0,Large
Taiwan_Credit,3,C4_Causal,87.2,46.2,0.991,0.0,Large
Taiwan_Credit,3,C5_Diversity,99.0,99.2,-0.022,0.4795,Negligible
Taiwan_Credit,4,C1_Immutability,100.0,100.0,0.0,1.0,Negligible
Taiwan_Credit,4,C2_Actionability,99.8,100.0,-0.048,0.3173,Negligible
Taiwan_Credit,4,C3_Sparsity,100.0,100.0,0.0,1.0,Negligible
Taiwan_Credit,4,C4_Causal,100.0,100.0,0.0,1.0,Negligible
Taiwan_Credit,4,C5_Diversity,99.1,11.8,7.878,0.0001,Large
