condition,avg_rank,dataset,criterion
DiCE_P2,3.625,German_Credit,C1_Immutability
DiCE_P3,3.625,German_Credit,C1_Immutability
DiCE_P4,3.625,German_Credit,C1_Immutability
Wachter_P2,3.625,German_Credit,C1_Immutability
Wachter_P4,3.625,German_Credit,C1_Immutability
Wachter_P3,3.625,German_Credit,C1_Immutability
Wachter_P1,7.0,German_Credit,C1_Immutability
DiCE_P1,7.25,German_Credit,C1_Immutability
DiCE_P4,4.0,German_Credit,C2_Actionability
DiCE_P3,4.0,German_Credit,C2_Actionability
Wachter_P3,4.0,German_Credit,C2_Actionability
Wachter_P4,4.0,German_Credit,C2_Actionability
DiCE_P1,4.875,German_Credit,C2_Actionability
DiCE_P2,5.0,German_Credit,C2_Actionability
Wachter_P2,5.0,German_Credit,C2_Actionability
Wachter_P1,5.125,German_Credit,C2_Actionability
DiCE_P1,4.25,German_Credit,C3_Sparsity
DiCE_P2,4.25,German_Credit,C3_Sparsity
DiCE_P3,4.25,German_Credit,C3_Sparsity
DiCE_P4,4.25,German_Credit,C3_Sparsity
Wachter_P2,4.25,German_Credit,C3_Sparsity
Wachter_P3,4.25,German_Credit,C3_Sparsity
Wachter_P4,4.25,German_Credit,C3_Sparsity
Wachter_P1,6.25,German_Credit,C3_Sparsity
DiCE_P4,2.75,German_Credit,C4_Causal
Wachter_P4,2.75,German_Credit,C4_Causal
DiCE_P1,3.75,German_Credit,C4_Causal
DiCE_P2,4.125,German_Credit,C4_Causal
DiCE_P3,4.5,German_Credit,C4_Causal
Wachter_P1,5.75,German_Credit,C4_Causal
Wachter_P2,5.75,German_Credit,C4_Causal
Wachter_P3,6.625,German_Credit,C4_Causal
DiCE_P1,3.125,German_Credit,C5_Diversity
DiCE_P2,3.125,German_Credit,C5_Diversity
DiCE_P3,3.125,German_Credit,C5_Diversity
DiCE_P4,3.125,German_Credit,C5_Diversity
Wachter_P1,4.25,German_Credit,C5_Diversity
Wachter_P2,5.375,German_Credit,C5_Diversity
Wachter_P3,6.0,German_Credit,C5_Diversity
Wachter_P4,7.875,German_Credit,C5_Diversity
DiCE_P2,3.5357142857142856,Taiwan_Credit,C1_Immutability
DiCE_P3,3.5357142857142856,Taiwan_Credit,C1_Immutability
DiCE_P4,3.5357142857142856,Taiwan_Credit,C1_Immutability
Wachter_P2,3.5357142857142856,Taiwan_Credit,C1_Immutability
Wachter_P4,3.5357142857142856,Taiwan_Credit,C1_Immutability
Wachter_P3,3.5357142857142856,Taiwan_Credit,C1_Immutability
DiCE_P1,7.142857142857143,Taiwan_Credit,C1_Immutability
Wachter_P1,7.642857142857143,Taiwan_Credit,C1_Immutability
DiCE_P4,2.7857142857142856,Taiwan_Credit,C2_Actionability
DiCE_P3,2.7857142857142856,Taiwan_Credit,C2_Actionability
Wachter_P3,2.7857142857142856,Taiwan_Credit,C2_Actionability
Wachter_P4,2.7857142857142856,Taiwan_Credit,C2_Actionability
Wachter_P2,5.821428571428571,Taiwan_Credit,C2_Actionability
Wachter_P1,6.071428571428571,Taiwan_Credit,C2_Actionability
DiCE_P1,6.428571428571429,Taiwan_Credit,C2_Actionability
DiCE_P2,6.535714285714286,Taiwan_Credit,C2_Actionability
DiCE_P1,3.3214285714285716,Taiwan_Credit,C3_Sparsity
DiCE_P2,3.3214285714285716,Taiwan_Credit,C3_Sparsity
DiCE_P3,3.3214285714285716,Taiwan_Credit,C3_Sparsity
DiCE_P4,3.3214285714285716,Taiwan_Credit,C3_Sparsity
Wachter_P4,3.3214285714285716,Taiwan_Credit,C3_Sparsity
Wachter_P3,4.821428571428571,Taiwan_Credit,C3_Sparsity
Wachter_P2,6.892857142857143,Taiwan_Credit,C3_Sparsity
Wachter_P1,7.678571428571429,Taiwan_Credit,C3_Sparsity
DiCE_P4,2.142857142857143,Taiwan_Credit,C4_Causal
Wachter_P4,2.142857142857143,Taiwan_Credit,C4_Causal
DiCE_P1,3.8214285714285716,Taiwan_Credit,C4_Causal
DiCE_P2,4.285714285714286,Taiwan_Credit,C4_Causal
DiCE_P3,4.357142857142857,Taiwan_Credit,C4_Causal
Wachter_P2,6.357142857142857,Taiwan_Credit,C4_Causal
Wachter_P3,6.428571428571429,Taiwan_Credit,C4_Causal
Wachter_P1,6.464285714285714,Taiwan_Credit,C4_Causal
DiCE_P1,3.857142857142857,Taiwan_Credit,C5_Diversity
DiCE_P2,3.857142857142857,Taiwan_Credit,C5_Diversity
DiCE_P3,3.857142857142857,Taiwan_Credit,C5_Diversity
Wachter_P2,4.071428571428571,Taiwan_Credit,C5_Diversity
Wachter_P3,4.071428571428571,Taiwan_Credit,C5_Diversity
DiCE_P4,4.142857142857143,Taiwan_Credit,C5_Diversity
Wachter_P1,4.392857142857143,Taiwan_Credit,C5_Diversity
Wachter_P4,7.75,Taiwan_Credit,C5_Diversity
